Province/State,Confirmed,Deaths,Recovered,Date
North Dakota,0,0,0,2020-03-11
Ohio,4,0,0,2020-03-11
Oklahoma,2,0,0,2020-03-11
Oregon,19,0,0,2020-03-11
Pennsylvania,16,0,0,2020-03-11
Rhode Island,5,0,0,2020-03-11
South Carolina,10,0,0,2020-03-11
South Dakota,8,1,0,2020-03-11
Tennessee,9,0,0,2020-03-11
Texas,21,0,0,2020-03-11
Utah,3,0,0,2020-03-11
Vermont,1,0,0,2020-03-11
Virginia,9,0,0,2020-03-11
Washington,366,29,1,2020-03-11
West Virginia,0,0,0,2020-03-11
Wisconsin,6,0,1,2020-03-11
Wyoming,0,0,0,2020-03-11
Alaska,0,0,0,2020-03-12
Arizona,9,0,1,2020-03-12
Arkansas,6,0,0,2020-03-12
California,221,4,6,2020-03-12
Colorado,45,0,0,2020-03-12
Connecticut,5,0,0,2020-03-12
Delaware,1,0,0,2020-03-12
District of Columbia,10,0,0,2020-03-12
Florida,35,2,0,2020-03-12
Georgia,31,1,0,2020-03-12
Hawaii,2,0,0,2020-03-12
Idaho,0,0,0,2020-03-12
Illinois,32,0,2,2020-03-12
Indiana,13,0,0,2020-03-12
Iowa,16,0,0,2020-03-12
Kansas,1,0,0,2020-03-12
Kentucky,10,0,0,2020-03-12
Louisiana,19,0,0,2020-03-12
Maine,0,0,0,2020-03-12
Maryland,12,0,0,2020-03-12
Massachusetts,108,0,1,2020-03-12
Michigan,2,0,0,2020-03-12
Minnesota,9,0,0,2020-03-12
Mississippi,1,0,0,2020-03-12
Missouri,1,0,0,2020-03-12
Montana,1,0,0,2020-03-12
Nebraska,10,0,0,2020-03-12
Nevada,14,0,0,2020-03-12
New Hampshire,6,0,0,2020-03-12
New Jersey,29,1,0,2020-03-12
New Mexico,5,0,0,2020-03-12
New York,328,0,0,2020-03-12
North Carolina,15,0,0,2020-03-12
North Dakota,1,0,0,2020-03-12
Ohio,5,0,0,2020-03-12
Oklahoma,2,0,0,2020-03-12
Oregon,24,0,0,2020-03-12
Pennsylvania,22,0,0,2020-03-12
Rhode Island,5,0,0,2020-03-12
South Carolina,12,0,0,2020-03-12
South Dakota,8,1,0,2020-03-12
Tennessee,18,0,0,2020-03-12
Texas,27,0,0,2020-03-12
Utah,5,0,0,2020-03-12
Vermont,2,0,0,2020-03-12
Virginia,17,0,0,2020-03-12
Washington,442,31,1,2020-03-12
West Virginia,0,0,0,2020-03-12
Wisconsin,8,0,1,2020-03-12
Wyoming,1,0,0,2020-03-12
Alabama,5,0,0,2020-03-13
Alaska,1,0,0,2020-03-13
Arizona,9,0,1,2020-03-13
Arkansas,6,0,0,2020-03-13
California,282,4,6,2020-03-13
Colorado,49,0,0,2020-03-13
Connecticut,11,0,0,2020-03-13
Delaware,4,0,0,2020-03-13
District of Columbia,10,0,0,2020-03-13
Florida,50,2,0,2020-03-13
Georgia,42,1,0,2020-03-13
Hawaii,2,0,0,2020-03-13
Idaho,1,0,0,2020-03-13
Illinois,46,0,2,2020-03-13
Indiana,13,0,0,2020-03-13
Iowa,17,0,0,2020-03-13
Kansas,5,1,0,2020-03-13
Kentucky,14,0,0,2020-03-13
Louisiana,36,0,0,2020-03-13
Maine,1,0,0,2020-03-13
Maryland,18,0,0,2020-03-13
Massachusetts,123,0,1,2020-03-13
Michigan,16,0,0,2020-03-13
Minnesota,14,0,0,2020-03-13
Mississippi,1,0,0,2020-03-13
Missouri,2,0,0,2020-03-13
Montana,1,0,0,2020-03-13
Nebraska,13,0,0,2020-03-13
Nevada,17,0,0,2020-03-13
New Hampshire,6,0,0,2020-03-13
New Jersey,29,1,0,2020-03-13
New Mexico,10,0,0,2020-03-13
New York,421,0,0,2020-03-13
North Carolina,17,0,0,2020-03-13
North Dakota,1,0,0,2020-03-13
Ohio,13,0,0,2020-03-13
Oklahoma,2,0,0,2020-03-13
Oregon,30,0,0,2020-03-13
Pennsylvania,41,0,0,2020-03-13
Rhode Island,14,0,0,2020-03-13
South Carolina,13,0,0,2020-03-13
South Dakota,8,1,0,2020-03-13
Tennessee,26,0,0,2020-03-13
Texas,43,0,0,2020-03-13
Utah,9,0,0,2020-03-13
Vermont,2,0,0,2020-03-13
Virginia,30,0,0,2020-03-13
Washington,568,37,1,2020-03-13
West Virginia,0,0,0,2020-03-13
Wisconsin,19,0,1,2020-03-13
Wyoming,1,0,0,2020-03-13
Alabama,6,0,0,2020-03-14
Arizona,12,0,1,2020-03-14
Arkansas,12,0,0,2020-03-14
California,340,5,6,2020-03-14
Colorado,101,1,0,2020-03-14
Connecticut,22,0,0,2020-03-14
Delaware,6,0,0,2020-03-14
District of Columbia,10,0,0,2020-03-14
Florida,76,3,0,2020-03-14
Georgia,66,1,0,2020-03-14
Hawaii,4,0,0,2020-03-14
Idaho,2,0,0,2020-03-14
Illinois,64,0,2,2020-03-14
Indiana,16,0,0,2020-03-14
Iowa,17,0,0,2020-03-14
Kansas,8,1,0,2020-03-14
Kentucky,14,0,0,2020-03-14
Louisiana,77,1,0,2020-03-14
Maine,3,0,0,2020-03-14
Maryland,26,0,0,2020-03-14
Massachusetts,138,0,1,2020-03-14
Michigan,25,0,0,2020-03-14
Minnesota,21,0,0,2020-03-14
Mississippi,6,0,0,2020-03-14
Missouri,4,0,0,2020-03-14
Montana,5,0,0,2020-03-14
Nebraska,14,0,0,2020-03-14
Nevada,21,0,0,2020-03-14
New Hampshire,7,0,0,2020-03-14
New Jersey,69,1,0,2020-03-14
New Mexico,10,0,0,2020-03-14
New York,525,2,0,2020-03-14
North Carolina,24,0,0,2020-03-14
North Dakota,1,0,0,2020-03-14
Ohio,26,0,0,2020-03-14
Oklahoma,4,0,0,2020-03-14
Oregon,32,0,0,2020-03-14
Pennsylvania,47,0,0,2020-03-14
Puerto Rico,3,0,0,2020-03-14
Rhode Island,20,0,0,2020-03-14
South Carolina,19,0,0,2020-03-14
South Dakota,9,1,0,2020-03-14
Tennessee,32,0,0,2020-03-14
Texas,57,0,0,2020-03-14
Utah,10,0,0,2020-03-14
Vermont,5,0,0,2020-03-14
Virginia,41,1,0,2020-03-14
Washington,572,37,1,2020-03-14
West Virginia,0,0,0,2020-03-14
Wisconsin,27,0,1,2020-03-14
Wyoming,2,0,0,2020-03-14
Alabama,12,0,0,2020-03-15
Alaska,1,0,0,2020-03-15
Arizona,13,0,1,2020-03-15
Arkansas,16,0,0,2020-03-15
California,426,6,6,2020-03-15
Colorado,131,1,0,2020-03-15
Connecticut,24,0,0,2020-03-15
Delaware,7,0,0,2020-03-15
District of Columbia,16,0,0,2020-03-15
Florida,115,4,0,2020-03-15
Georgia,99,1,0,2020-03-15
Guam,3,0,0,2020-03-15
Hawaii,6,0,0,2020-03-15
Idaho,5,0,0,2020-03-15
Illinois,93,0,2,2020-03-15
Indiana,20,0,0,2020-03-15
Iowa,18,0,0,2020-03-15
Kansas,8,1,0,2020-03-15
Kentucky,20,0,0,2020-03-15
Louisiana,91,2,0,2020-03-15
Maine,12,0,0,2020-03-15
Maryland,32,0,0,2020-03-15
Massachusetts,164,0,1,2020-03-15
Michigan,33,0,0,2020-03-15
Minnesota,35,0,0,2020-03-15
Mississippi,10,0,0,2020-03-15
Missouri,5,0,0,2020-03-15
Montana,7,0,0,2020-03-15
Nebraska,17,0,0,2020-03-15
Nevada,24,0,0,2020-03-15
New Hampshire,13,0,0,2020-03-15
New Jersey,98,2,0,2020-03-15
New Mexico,13,0,0,2020-03-15
New York,732,3,0,2020-03-15
North Carolina,33,0,0,2020-03-15
North Dakota,1,0,0,2020-03-15
Ohio,37,0,0,2020-03-15
Oklahoma,7,0,0,2020-03-15
Oregon,36,1,0,2020-03-15
Pennsylvania,66,0,0,2020-03-15
Puerto Rico,5,0,0,2020-03-15
Rhode Island,20,0,0,2020-03-15
South Carolina,28,0,0,2020-03-15
South Dakota,9,1,0,2020-03-15
Tennessee,39,0,0,2020-03-15
Texas,72,0,0,2020-03-15
Utah,28,0,0,2020-03-15
Vermont,8,0,0,2020-03-15
Virginia,45,1,0,2020-03-15
Washington,643,40,1,2020-03-15
West Virginia,0,0,0,2020-03-15
Wisconsin,32,0,1,2020-03-15
Wyoming,3,0,0,2020-03-15
Alabama,29,0,0,2020-03-16
Alaska,1,0,0,2020-03-16
Arizona,18,0,1,2020-03-16
Arkansas,22,0,0,2020-03-16
California,557,7,6,2020-03-16
Colorado,160,1,0,2020-03-16
Connecticut,30,0,0,2020-03-16
Delaware,8,0,0,2020-03-16
District of Columbia,22,0,0,2020-03-16
Florida,155,5,0,2020-03-16
Georgia,121,1,0,2020-03-16
Guam,3,0,0,2020-03-16
Hawaii,7,0,0,2020-03-16
Idaho,5,0,0,2020-03-16
Illinois,105,0,2,2020-03-16
Indiana,25,1,0,2020-03-16
Iowa,23,0,0,2020-03-16
Kansas,11,1,0,2020-03-16
Kentucky,21,1,1,2020-03-16
Louisiana,136,3,0,2020-03-16
Maine,17,0,0,2020-03-16
Maryland,41,0,3,2020-03-16
Massachusetts,197,0,1,2020-03-16
Michigan,53,0,0,2020-03-16
Minnesota,54,0,0,2020-03-16
Mississippi,13,0,0,2020-03-16
Missouri,6,0,0,2020-03-16
Montana,7,0,0,2020-03-16
Nebraska,18,0,0,2020-03-16
Nevada,45,1,0,2020-03-16
New Hampshire,17,0,0,2020-03-16
New Jersey,178,2,1,2020-03-16
New Mexico,17,0,0,2020-03-16
New York,967,10,0,2020-03-16
North Carolina,38,0,0,2020-03-16
North Dakota,1,0,0,2020-03-16
Ohio,50,0,0,2020-03-16
Oklahoma,10,0,0,2020-03-16
Oregon,39,1,0,2020-03-16
Pennsylvania,77,0,0,2020-03-16
Puerto Rico,5,0,0,2020-03-16
Rhode Island,21,0,0,2020-03-16
South Carolina,33,1,0,2020-03-16
South Dakota,10,1,0,2020-03-16
Tennessee,52,0,0,2020-03-16
Texas,85,0,0,2020-03-16
Utah,39,0,0,2020-03-16
Vermont,12,0,0,2020-03-16
Virgin Islands,1,0,0,2020-03-16
Virginia,49,1,0,2020-03-16
Washington,904,48,1,2020-03-16
West Virginia,0,0,0,2020-03-16
Wisconsin,47,0,1,2020-03-16
Wyoming,3,0,0,2020-03-16
Alabama,39,0,0,2020-03-17
Alaska,3,0,0,2020-03-17
Arizona,20,0,1,2020-03-17
Arkansas,22,0,0,2020-03-17
California,698,12,6,2020-03-17
Colorado,160,2,0,2020-03-17
Connecticut,68,0,0,2020-03-17
Delaware,16,0,0,2020-03-17
District of Columbia,22,0,0,2020-03-17
Florida,216,6,0,2020-03-17
Georgia,146,1,0,2020-03-17
Guam,3,0,0,2020-03-17
Hawaii,10,0,0,2020-03-17
Idaho,8,0,0,2020-03-17
Illinois,161,1,2,2020-03-17
Indiana,30,2,0,2020-03-17
Iowa,23,0,0,2020-03-17
Kansas,18,1,0,2020-03-17
Kentucky,26,1,1,2020-03-17
Louisiana,196,4,0,2020-03-17
Maine,32,0,0,2020-03-17
Maryland,60,0,3,2020-03-17
Massachusetts,218,0,1,2020-03-17
Michigan,65,0,0,2020-03-17
Minnesota,60,0,0,2020-03-17
Mississippi,21,0,0,2020-03-17
Missouri,11,0,0,2020-03-17
Montana,9,0,0,2020-03-17
Nebraska,21,0,0,2020-03-17
Nevada,56,1,0,2020-03-17
New Hampshire,26,0,0,2020-03-17
New Jersey,267,3,1,2020-03-17
New Mexico,23,0,0,2020-03-17
New York,1706,13,0,2020-03-17
North Carolina,64,0,0,2020-03-17
North Dakota,3,0,0,2020-03-17
Ohio,67,0,0,2020-03-17
Oklahoma,19,0,0,2020-03-17
Oregon,66,1,0,2020-03-17
Pennsylvania,112,0,0,2020-03-17
Puerto Rico,5,0,0,2020-03-17
Rhode Island,23,0,0,2020-03-17
South Carolina,47,1,0,2020-03-17
South Dakota,11,1,0,2020-03-17
Tennessee,74,0,0,2020-03-17
Texas,110,1,0,2020-03-17
Utah,51,0,0,2020-03-17
Vermont,12,0,0,2020-03-17
Virgin Islands,2,0,0,2020-03-17
Virginia,67,2,0,2020-03-17
Washington,1076,55,1,2020-03-17
West Virginia,1,0,0,2020-03-17
Wisconsin,72,0,1,2020-03-17
Wyoming,11,0,0,2020-03-17
Alabama,46,0,0,2020-03-18
Alaska,6,0,0,2020-03-18
Arizona,27,0,0,2020-03-18
Arkansas,33,0,0,2020-03-18
California,751,13,0,2020-03-18
Colorado,184,2,0,2020-03-18
Connecticut,68,0,0,2020-03-18
Delaware,19,0,0,2020-03-18
District of Columbia,31,0,0,2020-03-18
Florida,314,7,0,2020-03-18
Georgia,199,3,0,2020-03-18
Guam,5,0,0,2020-03-18
Hawaii,14,0,0,2020-03-18
Idaho,9,0,0,2020-03-18
Illinois,162,1,0,2020-03-18
Indiana,39,2,0,2020-03-18
Iowa,29,0,0,2020-03-18
Kansas,18,1,0,2020-03-18
Kentucky,27,1,0,2020-03-18
Louisiana,257,4,0,2020-03-18
Maine,42,0,0,2020-03-18
Maryland,85,0,0,2020-03-18
Massachusetts,218,0,0,2020-03-18
Michigan,83,0,0,2020-03-18
Minnesota,77,0,0,2020-03-18
Mississippi,34,0,0,2020-03-18
Missouri,18,0,0,2020-03-18
Montana,11,0,0,2020-03-18
Nebraska,24,0,0,2020-03-18
Nevada,55,1,0,2020-03-18
New Hampshire,26,0,0,2020-03-18
New Jersey,267,3,0,2020-03-18
New Mexico,23,0,0,2020-03-18
New York,2495,16,0,2020-03-18
North Carolina,70,0,0,2020-03-18
North Dakota,6,0,0,2020-03-18
Ohio,86,0,0,2020-03-18
Oklahoma,19,0,0,2020-03-18
Oregon,68,2,0,2020-03-18
Pennsylvania,152,0,0,2020-03-18
Puerto Rico,5,0,0,2020-03-18
Rhode Island,33,0,0,2020-03-18
South Carolina,47,1,0,2020-03-18
South Dakota,11,1,0,2020-03-18
Tennessee,79,0,0,2020-03-18
Texas,173,3,0,2020-03-18
United States Virgin Islands,2,0,0,2020-03-18
US,1,0,106,2020-03-18
Utah,51,0,0,2020-03-18
Vermont,18,0,0,2020-03-18
Virgin Islands,2,0,0,2020-03-18
Virginia,77,2,0,2020-03-18
Washington,1014,55,0,2020-03-18
West Virginia,1,0,0,2020-03-18
Wisconsin,92,0,0,2020-03-18
Wyoming,15,0,0,2020-03-18
Alabama,78,0,0,2020-03-19
Alaska,9,0,0,2020-03-19
Arizona,45,0,0,2020-03-19
Arkansas,62,0,0,2020-03-19
California,952,18,0,2020-03-19
Colorado,277,4,0,2020-03-19
Connecticut,159,2,0,2020-03-19
Delaware,30,0,0,2020-03-19
District of Columbia,40,0,0,2020-03-19
Florida,417,9,0,2020-03-19
Georgia,287,10,0,2020-03-19
Guam,12,0,0,2020-03-19
Hawaii,16,0,0,2020-03-19
Idaho,11,0,0,2020-03-19
Illinois,422,4,0,2020-03-19
Indiana,60,2,0,2020-03-19
Iowa,44,0,0,2020-03-19
Kansas,34,1,0,2020-03-19
Kentucky,37,2,0,2020-03-19
Louisiana,392,10,0,2020-03-19
Maine,52,0,0,2020-03-19
Maryland,107,1,0,2020-03-19
Massachusetts,328,0,0,2020-03-19
Michigan,334,3,0,2020-03-19
Minnesota,89,0,0,2020-03-19
Mississippi,50,1,0,2020-03-19
Missouri,31,1,0,2020-03-19
Montana,11,0,0,2020-03-19
Nebraska,29,0,0,2020-03-19
Nevada,95,1,0,2020-03-19
New Hampshire,44,0,0,2020-03-19
New Jersey,742,9,0,2020-03-19
New Mexico,35,0,0,2020-03-19
New York,5365,34,0,2020-03-19
North Carolina,123,0,0,2020-03-19
North Dakota,18,0,0,2020-03-19
Ohio,119,0,0,2020-03-19
Oklahoma,44,1,0,2020-03-19
Oregon,88,3,0,2020-03-19
Pennsylvania,206,1,0,2020-03-19
Puerto Rico,5,0,0,2020-03-19
Rhode Island,44,0,0,2020-03-19
South Carolina,81,1,0,2020-03-19
South Dakota,11,1,0,2020-03-19
Tennessee,154,0,0,2020-03-19
Texas,260,5,0,2020-03-19
United States Virgin Islands,2,0,0,2020-03-19
US,1,0,108,2020-03-19
Utah,80,0,0,2020-03-19
Vermont,22,0,0,2020-03-19
Virgin Islands,3,0,0,2020-03-19
Virginia,99,2,0,2020-03-19
Washington,1376,74,0,2020-03-19
West Virginia,2,0,0,2020-03-19
Wisconsin,159,0,0,2020-03-19
Wyoming,18,0,0,2020-03-19
Alabama,83,0,0,2020-03-20
Alaska,12,0,0,2020-03-20
Arizona,78,0,0,2020-03-20
Arkansas,96,0,0,2020-03-20
California,1177,23,0,2020-03-20
Colorado,363,4,0,2020-03-20
Connecticut,194,3,0,2020-03-20
Delaware,38,0,0,2020-03-20
District of Columbia,71,1,0,2020-03-20
Florida,563,10,0,2020-03-20
Georgia,420,13,0,2020-03-20
Guam,14,0,0,2020-03-20
Hawaii,26,0,0,2020-03-20
Idaho,23,0,0,2020-03-20
Illinois,585,5,0,2020-03-20
Indiana,86,2,0,2020-03-20
Iowa,45,0,0,2020-03-20
Kansas,44,1,0,2020-03-20
Kentucky,47,2,0,2020-03-20
Louisiana,538,14,0,2020-03-20
Maine,56,0,0,2020-03-20
Maryland,149,1,0,2020-03-20
Massachusetts,413,1,0,2020-03-20
Michigan,552,3,0,2020-03-20
Minnesota,115,0,0,2020-03-20
Mississippi,80,1,0,2020-03-20
Missouri,53,2,0,2020-03-20
Montana,15,0,0,2020-03-20
Nebraska,37,0,0,2020-03-20
Nevada,114,1,0,2020-03-20
New Hampshire,44,0,0,2020-03-20
New Jersey,890,11,0,2020-03-20
New Mexico,43,0,0,2020-03-20
New York,8310,42,0,2020-03-20
North Carolina,172,0,0,2020-03-20
North Dakota,19,0,0,2020-03-20
Ohio,173,2,0,2020-03-20
Oklahoma,49,1,0,2020-03-20
Oregon,114,3,0,2020-03-20
Pennsylvania,303,1,0,2020-03-20
Puerto Rico,14,0,0,2020-03-20
Rhode Island,54,0,0,2020-03-20
South Carolina,126,1,0,2020-03-20
South Dakota,14,1,0,2020-03-20
Tennessee,233,0,0,2020-03-20
Texas,394,5,0,2020-03-20
United States Virgin Islands,3,0,0,2020-03-20
US,1,0,147,2020-03-20
Utah,78,0,0,2020-03-20
Vermont,29,2,0,2020-03-20
Virginia,122,2,0,2020-03-20
Washington,1524,83,0,2020-03-20
West Virginia,7,0,0,2020-03-20
Wisconsin,207,3,0,2020-03-20
Wyoming,19,0,0,2020-03-20
Alabama,131,0,0,2020-03-21
Alaska,15,0,0,2020-03-21
Arizona,118,1,0,2020-03-21
Arkansas,122,0,0,2020-03-21
California,1364,24,0,2020-03-21
Colorado,390,4,0,2020-03-21
Connecticut,194,4,0,2020-03-21
Delaware,45,0,0,2020-03-21
District of Columbia,77,1,0,2020-03-21
Florida,659,13,0,2020-03-21
Georgia,507,14,0,2020-03-21
Guam,15,0,0,2020-03-21
Hawaii,37,0,0,2020-03-21
Idaho,36,0,0,2020-03-21
Illinois,753,6,0,2020-03-21
Indiana,128,4,0,2020-03-21
Iowa,68,0,0,2020-03-21
Kansas,57,2,0,2020-03-21
Kentucky,87,3,0,2020-03-21
Louisiana,585,16,0,2020-03-21
Maine,70,0,0,2020-03-21
Maryland,193,2,0,2020-03-21
Massachusetts,525,1,0,2020-03-21
Michigan,788,5,0,2020-03-21
Minnesota,138,1,0,2020-03-21
Mississippi,140,1,0,2020-03-21
Missouri,74,3,0,2020-03-21
Montana,21,0,0,2020-03-21
Nebraska,38,0,0,2020-03-21
Nevada,161,2,0,2020-03-21
New Hampshire,55,0,0,2020-03-21
New Jersey,1327,16,0,2020-03-21
New Mexico,43,0,0,2020-03-21
New York,11710,60,0,2020-03-21
North Carolina,253,0,0,2020-03-21
North Dakota,28,0,0,2020-03-21
Ohio,248,3,0,2020-03-21
Oklahoma,53,1,0,2020-03-21
Oregon,114,5,0,2020-03-21
Pennsylvania,396,2,0,2020-03-21
Puerto Rico,21,1,0,2020-03-21
Rhode Island,66,0,0,2020-03-21
South Carolina,171,3,0,2020-03-21
South Dakota,14,1,0,2020-03-21
Tennessee,371,1,0,2020-03-21
Texas,581,5,0,2020-03-21
United States Virgin Islands,6,0,0,2020-03-21
US,1,0,171,2020-03-21
Utah,136,0,0,2020-03-21
Vermont,29,2,0,2020-03-21
Virginia,156,2,0,2020-03-21
Washington,1793,94,0,2020-03-21
West Virginia,8,0,0,2020-03-21
Wisconsin,282,4,0,2020-03-21
Wyoming,23,0,0,2020-03-21
